State,spring,summer,fall,winter
Alabama,62.5,78.6,63.7,46.5
Arizona,58.2,78.1,61.3,43.6
Arkansas,60.3,78.8,61.4,41.5
California,57.1,73.4,60.9,46.2
Colorado,43.7,65.2,45.9,25.8
Connecticut,47.3,69.2,51.2,28.5
Delaware,53.3,74.2,57.4,36.1
Florida,69.9,81,72.7,59.4
Georgia,63.1,78.7,64.6,47.8
Idaho,43.6,63.7,44.8,25.4
Illinois,51.6,73.4,53.8,28.3
Indiana,51.1,72.4,53.8,29.4
Iowa,48.2,71.6,49.8,21.7
Kansas,53.6,76.4,55.4,31.9
Kentucky,55.1,74.5,57,35.9
Louisiana,66.3,81.1,67.4,50.9
Maine,39.1,63.7,44.2,16.8
Maryland,52.8,73.3,56.1,34.7
Massachusetts,45.7,68,50.3,27.4
Michigan,42.6,66.2,47.3,21.7
Minnesota,41.9,66.8,43.5,12.4
Mississippi,63.2,79.5,64.2,46.7
Missouri,54.4,75.4,56,32.3
Montana,42.5,64.2,43,21.2
Nebraska,48.2,71.8,49.5,25.7
Nevada,48,69,50.2,32.2
New Hampshire,42.4,65.5,46.3,21.1
New Jersey,50.6,72.2,54.8,33
New Mexico,52.4,71.4,53.8,36.1
New York,43.6,66.5,48.1,23.3
North Carolina,58.2,75.7,60.2,42.1
North Dakota,41.1,66.6,42,12.2
Ohio,49.7,70.9,52.9,29.5
Oklahoma,59.1,79.6,60.6,39.1
Oregon,46.9,63.7,48.9,34
Pennsylvania,47.4,68.6,50.9,28.4
Rhode Island,47,68.8,53.1,31.4
South Carolina,62,78.4,63.4,46.1
South Dakota,44.8,69.9,46.4,19.5
Tennessee,57.3,75.6,58.6,39.1
Texas,65.1,81.1,65.5,47.9
Utah,47.5,69.6,49.1,28.2
Vermont,41.5,65.1,45.7,19.4
Virginia,54.1,73.2,56.5,36.8
Washington,47.7,63.8,48.5,33
West Virginia,50.9,70.2,53.3,32.8
Wisconsin,42.9,66.8,45.7,17.2
Wyoming,40.8,63.5,42.5,21.2