Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,0.24,0.09,0.12,0.25,0.14,0.17
Arizona,0.24,0.09,0.12,0.24,0.12,0.18
Arkansas,0.25,0.09,0.12,0.25,0.13,0.17
California,0.24,0.09,0.14,0.26,0.12,0.14
Colorado,0.24,0.09,0.14,0.26,0.13,0.14
Connecticut,0.22,0.08,0.11,0.27,0.15,0.17
Delaware,0.22,0.08,0.12,0.25,0.14,0.19
Florida,0.21,0.08,0.12,0.25,0.14,0.21
Georgia,0.26,0.09,0.12,0.27,0.12,0.14
Idaho,0.27,0.09,0.12,0.24,0.12,0.16
Illinois,0.24,0.09,0.12,0.26,0.13,0.15
Indiana,0.25,0.09,0.12,0.25,0.13,0.16
Iowa,0.25,0.09,0.12,0.24,0.13,0.17
Kansas,0.26,0.09,0.12,0.24,0.13,0.16
Kentucky,0.24,0.09,0.12,0.26,0.14,0.16
Louisiana,0.25,0.09,0.12,0.25,0.13,0.15
Maine,0.19,0.07,0.11,0.26,0.16,0.21
Maryland,0.23,0.08,0.12,0.27,0.14,0.15
Massachusetts,0.21,0.09,0.13,0.26,0.14,0.17
Michigan,0.23,0.09,0.12,0.25,0.14,0.17
Minnesota,0.24,0.08,0.13,0.25,0.14,0.16
Mississippi,0.26,0.09,0.11,0.25,0.13,0.16
Missouri,0.24,0.09,0.12,0.25,0.14,0.17
Montana,0.23,0.08,0.11,0.24,0.15,0.19
Nebraska,0.26,0.09,0.12,0.25,0.13,0.16
Nevada,0.24,0.08,0.13,0.27,0.13,0.16
New Hampshire,0.2,0.08,0.11,0.26,0.16,0.18
New Jersey,0.23,0.08,0.11,0.27,0.14,0.16
New Mexico,0.24,0.09,0.12,0.24,0.13,0.18
New York,0.22,0.09,0.13,0.26,0.14,0.16
North Carolina,0.24,0.08,0.12,0.26,0.13,0.16
North Dakota,0.24,0.11,0.14,0.23,0.13,0.15
Ohio,0.23,0.09,0.12,0.25,0.14,0.17
Oklahoma,0.26,0.09,0.13,0.24,0.13,0.16
Oregon,0.22,0.08,0.13,0.26,0.13,0.18
Pennsylvania,0.22,0.08,0.12,0.25,0.14,0.18
Rhode Island,0.2,0.09,0.13,0.26,0.15,0.17
South Carolina,0.23,0.09,0.11,0.25,0.14,0.18
South Dakota,0.26,0.09,0.11,0.24,0.14,0.16
Tennessee,0.24,0.09,0.12,0.26,0.13,0.16
Texas,0.27,0.09,0.13,0.26,0.11,0.13
Utah,0.31,0.11,0.13,0.24,0.1,0.11
Vermont,0.19,0.08,0.11,0.25,0.16,0.2
Virginia,0.24,0.09,0.12,0.26,0.13,0.16
Washington,0.23,0.08,0.14,0.26,0.13,0.16
West Virginia,0.21,0.08,0.11,0.25,0.15,0.2
Wisconsin,0.23,0.09,0.11,0.26,0.14,0.17
Wyoming,0.24,0.08,0.12,0.24,0.14,0.17